is_spam,comment
1,.
0,"Tu Vi:

Trong càn khôn:

Tôi Thể Cảnh

Khai Nguyên Cảnh

Khí Động Cảnh

Ly hợp Cảnh

Chân Nguyên Cảnh

Thần Du Cảnh

Siêu Phàm Cảnh

Nhập Thánh Cảnh

Thánh Vương Cảnh

Phản Hư Cảnh

Hư Vương Cảnh

Đạo nguyên cảnh

Đế tôn

ngụy đế và đại đế chỉ là danh xưng: khi đạt tới đế tôn tam tầng đỉnh phong ngưng tụ được tự thân đạo ấn nhưng không dc thiên địa thừa nhận sẽ dc xưng là ngụy đế, ngược lại nếu được thiên địa thừa nhận sẽ được danh là đại đế. Cơ bản cả 2 như nhau nhưng đại đế lời hơn do có đc sức mạnh thiên địa hơn Đế Tôn bình thường.

Ngoài Càn Khôn:

ngưng tụ âm dương ngũ hành (dc 5 trong 7 loại dc tính nửa bước khai thiên)

Khai thiên cảnh 

nhất tới tam phẩm : Hạ phẩm khai thiên

tứ phẩm tới lục phẩm : Trung Phẩm khai thiên

thất phẩm tới : thượng phẩm khai thiên

Tạo Vật Cảnh

đẳng cấp long tộc:

dưới 100 trượng - ấu long

từ 1000 đến 6000 trượng - cự long

> 6000 đến 8999 trượng - cổ long

>= 9000 trượng - thánh long

Long Hoàng - danh hiệu dành cho con rồng mạnh nhất trong long tộc"
1,"Ảnh taihen cổ trang update liên tục ae nào thích thì coi nha
https://lin&k1s.com/8VIqKflo (bỏ &) nhé"
0,Chỉ có gánh team thôi không có gánh nặng nhé
1,
0,Hư vương cảnh rồi đến cảnh giới gì vậy
0,Đến hoa lan cẩm sục cảnh nhá :v
0,"Tu Vi:

Trong càn khôn:

Tôi Thể Cảnh

Khai Nguyên Cảnh

Khí Động Cảnh

Ly hợp Cảnh

Chân Nguyên Cảnh

Thần Du Cảnh

Siêu Phàm Cảnh

Nhập Thánh Cảnh

Thánh Vương Cảnh

Phản Hư Cảnh

Hư Vương Cảnh

Đạo nguyên cảnh

Đế tôn

ngụy đế và đại đế chỉ là danh xưng: khi đạt tới đế tôn tam tầng đỉnh phong ngưng tụ được tự thân đạo ấn nhưng không dc thiên địa thừa nhận sẽ dc xưng là ngụy đế, ngược lại nếu được thiên địa thừa nhận sẽ được danh là đại đế. Cơ bản cả 2 như nhau nhưng đại đế lời hơn do có đc sức mạnh thiên địa hơn Đế Tôn bình thường.

Ngoài Càn Khôn:

ngưng tụ âm dương ngũ hành (dc 5 trong 7 loại dc tính nửa bước khai thiên)

Khai thiên cảnh

nhất tới tam phẩm : Hạ phẩm khai thiên

tứ phẩm tới lục phẩm : Trung Phẩm khai thiên

thất phẩm tới : thượng phẩm khai thiên

Tạo Vật Cảnh

đẳng cấp long tộc:

dưới 100 trượng - ấu long

từ 1000 đến 6000 trượng - cự long

> 6000 đến 8999 trượng - cổ long

>= 9000 trượng - thánh long

Long Hoàng - danh hiệu dành cho con rồng mạnh nhất trong long tộc"
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI..'.;',;',;;'"
1,"LinĶ HAI BÉ 2K9 LÀM xXx LÀM CỘNG ĐỒNG FB XÔN XAO

LinĶ : https://sum.vn/W9TGG

VÌ SHARE LINĶ NÀY LÀM CHO BAO NHIÊU ANH EM MẤT FACEBOOK

ĐỪNG SHARE LINK NÀY LÊN FB NHA MẤT ĐẤY XEM Ở TRÊN WEB THÔI..',;';';'.;'...."
0,Góp dc 500 chap chưa đọc haha giờ xoã thôi 🥰🥰🥰
0,Mệt vãi
1," ==>==> yout*ube.com/watch?v=-LqSH5vRSEU
Music này cứ phải gọi là đẳng cấp :) cứ phải ối dồi ôi luôn nhá :D Tôi thử rồi UwU phiêu phết á :> và đọc truyện cx hợp nx nè :3  "
1,"  ==>==> yout*ube.com/watch?v=-LqSH5vRSEU
Music này cứ phải gọi là đẳng cấp :) cứ phải ối dồi ôi luôn nhá :D Tôi thử rồi UwU phiêu phết á :> và đọc truyện cx hợp nx nè :3 "
0,e cho hỏi dương khai nó nhiu tuổi r...
1,69 tuổi nha thằng lồn
0,Tầm 50
0,30 mấy gần 40 rồi bạn
0,Chắc cũng  20 đến 30 mấy thoi ( tui nghĩ vậy )
0,"20 tuổi ở Trung Đô, hơn 10 năm ở Thông Huyền Đại Lục, hơn 10 năm ở trong tinh vực, hơn 10 năm ở U Ám Tinh. Ít nhất phải hơn 50 tuổi"
